Data Bencana,,,,,,,,,,,,,,,
No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Dampak
25,7313,4/8/2022,PUTING BELIUNG,Kec. Maniangpajo Ds. Minangatellue,WAJO,SULAWESI SELATAN,,"●Dipicu hujan disertai angin kencang pada hari Jumat, 08 April 2022, Pkl. 16:00 WITA secara tiba-tiba hingga merusak atap rumah warga",0,0,0,9,0,0,0
26,7326,4/8/2022,PUTING BELIUNG,Kec. Tikala Ds. Tikala,TORAJA UTARA,SULAWESI SELATAN,,"●Dipicu hujan Lebat disertai Angin yg Cukup Kencang mengakibatkan Rumah Tongkonan Rusak Ringan, Lumbung Rusak Berat dan Rumah Tempat Tinggal Rusak Ringan",0,0,0,3,0,0,0
27,3276,4/7/2022,PUTING BELIUNG,Kec. Sawangan Kel. Sawangan baru,KOTA DEPOK,JAWA BARAT,,●Dipicu hujan dengan Intensitas Sedang - Tinggi disertai Angin Kencang,0,0,0,3,0,1,0
28,3210,4/7/2022,PUTING BELIUNG,Kec. Ligung Ds. kedung Sari Ds. Kedung Kencana,MAJALENGKA,JAWA BARAT,,"●Dipicu hujan dengan Intensitas Sedang - Tinggi disertai Angin Kencang Sehingga Mengakibatkan 6 Rumah terdampak rusak ringan, Pada Hari Kamis Tanggal 07 April 2022 Pukul 15.30 Wib",0,0,0,10,0,0,1
29,3314,4/7/2022,PUTING BELIUNG,Kec. Miri Ds. Brojol,SRAGEN,JAWA TENGAH,,●Dipicu hujan dibarengi dengan angin kencang yang mengakibatkan Wilayah Desa Brojol terdampak angin kencang,0,0,0,9,0,0,0
30,3215,4/6/2022,PUTING BELIUNG,Kec. Pakisjaya Ds. Karangpawitan Ds. Telukbuyung,KARAWANG,JAWA BARAT,,●Dipicu hujan dengan intensitas sedang hingga lebat disertai angin kencang,0,0,0,3,0,0,0
31,1901,4/6/2022,PUTING BELIUNG,Kec. Riau Silip Ds. Cit,BANGKA,KEPULAUAN BANGKA BELITUNG,,"●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang yang terjadi pada Hari Rabu, 06 April 2022, Pkl. 14.15 Wib",0,0,0,23,0,0,1
32,1906,4/6/2022,PUTING BELIUNG,Kec. Damar Ds. Air Kelik,BELITUNG TIMUR,KEPULAUAN BANGKA BELITUNG,,●Dipicu hujan petir dan angin kencang melanda wilayah Desa Air kelik RT 03. Sekitar pukul 13.15 wib,0,0,0,0,0,0,0
33,3327,4/6/2022,PUTING BELIUNG,Kec. Bodeh Ds. Kebandaran,PEMALANG,JAWA TENGAH,,●Dipicu angin kencang/puting beliung hingga merbohkan 1 rumpun bambu serta meninpa rumah warga.,0,0,0,1,0,0,0
34,3328,4/6/2022,PUTING BELIUNG,Kec. Warureja  Ds. Kedungjati,TEGAL,JAWA TENGAH,,●hujan disertai angin kencang yang mengakibatkan genteng rumah warga berterbangan dan pohon pada tumbang pada pukul. 14.30 WIB,0,0,0,0,0,0,0
35,3515,4/6/2022,PUTING BELIUNG,Kec. Luangan Ds. Grogol Ds. Sudimoro,SIDOARJO,JAWA TIMUR,,●Hujan intensitas deras disertai Angin kencang,0,0,0,23,0,2,1
36,3202,4/5/2022,PUTING BELIUNG,Kec. Nagrak Ds. Babakan Panjang,SUKABUMI,JAWA BARAT,,●dipicu akibat angin kencang yang terjadi di wilayah Kac. Nagrak dan menyebabkan rumah rusak,0,0,0,2,0,0,0
